model,dataset,pretraining length,ImageNet accuracy,freeze encoder,pretraining scheme,seed,accuracy,balanced accuracy,sensitivity,specificity,precision,dice index,jaccard index,mcc,modified hausdorff distance,area under roc,average precision score,mean dice index,mean jaccard index
ResNet50 Attention U-Net,ACDC,250,0.719,True,advanced,123127,0.994506808154256,,,,,,,,3.6872022848377415,0.9981790076041204,0.9628092319949394,0.9016883236978774,0.8225591890334415
ResNet50 Attention U-Net,ACDC,250,0.719,True,advanced,123128,0.9946634686053788,,,,,,,,3.262495601676281,0.9979927052514692,0.9641094394066392,0.9039027309595596,0.8262678675648166
ResNet50 Attention U-Net,ACDC,300,0.748,False,advanced,123124,0.9948961440117404,,,,,,,,3.198075536733569,0.9981400915394611,0.9657356418800668,0.907134241433385,0.8317216764601575
ResNet50 Attention U-Net,ACDC,300,0.748,False,advanced,123125,0.99485224648642,,,,,,,,2.9225374565214284,0.997691985203723,0.965679009698783,0.9060445449211144,0.8299107765143295
ResNet50 Attention U-Net,ACDC,300,0.748,False,advanced,123126,0.9948461341727676,,,,,,,,3.150595447501582,0.9980480499307316,0.965662239542347,0.9069481662227022,0.8314142877669936
ResNet50 Attention U-Net,ACDC,300,0.748,False,advanced,123127,0.9949320770071504,,,,,,,,3.243193329405316,0.9976602550613216,0.9649179922034484,0.9085378043675932,0.8340015666061141
ResNet50 Attention U-Net,ACDC,300,0.748,False,advanced,123128,0.9948384845196212,,,,,,,,2.8457049502116525,0.997348434113796,0.9648612611782528,0.9068266524780436,0.8311434203963458
ResNet50 Attention U-Net,ACDC,300,0.748,True,advanced,123124,0.994525182139538,,,,,,,,3.738567266356709,0.9974530745229172,0.962839722127887,0.901815228416349,0.8229055421110166
ResNet50 Attention U-Net,ACDC,300,0.748,True,advanced,123125,0.9945879167042048,,,,,,,,3.448569942200248,0.9987022734582808,0.96470930912613,0.9028924332148528,0.8246870026480186
ResNet50 Attention U-Net,ACDC,300,0.748,True,advanced,123126,0.9945755068552746,,,,,,,,3.7259417227458775,0.998460940068917,0.9639010790523832,0.9025718526890008,0.8240815625449031
ResNet50 Attention U-Net,ACDC,300,0.748,True,advanced,123127,0.9944053993141168,,,,,,,,3.749168140164768,0.9976179197584032,0.9602595302580196,0.900398063576605,0.8205447437644952
