dataset,metric,margin,encoder,pretraining_scheme,pooled,level,pretraining_length,robustness
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,3,1,0.060958173125982285
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,3,1,0.07591981440782547
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,4,1,0.05894552543759346
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,4,1,0.06703099608421326
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,5,1,0.053572915494441986
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,5,1,0.053401678800582886
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,1,1,0.22794963419437408
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,1,1,0.27366283535957336
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,2,1,0.1983049064874649
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,2,1,0.27950942516326904
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,3,1,0.1952265352010727
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,3,1,0.27335694432258606
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,4,1,0.19513346254825592
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,4,1,0.2622973620891571
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,5,1,0.20820622146129608
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,5,1,0.2587708532810211
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,1,1,0.46542662382125854
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,1,1,0.5133978724479675
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,2,1,0.4098907709121704
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,2,1,0.5129902958869934
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,3,1,0.3860105872154236
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,3,1,0.5034491419792175
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,4,1,0.3883611261844635
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,4,1,0.4910549819469452
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,5,1,0.42565542459487915
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,5,1,0.4892323613166809
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,1,1,0.7069042325019836
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,1,1,0.7558899521827698
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,2,1,0.6439202427864075
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,2,1,0.748939573764801
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,3,1,0.6147747039794922
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,3,1,0.7379671931266785
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,4,1,0.6176207661628723
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,4,1,0.7262524962425232
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,5,1,0.6593566536903381
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,5,1,0.7266886830329895
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,1,1,0.9525604248046875
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,1,1,1.0011318922042847
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,2,1,0.8852362036705017
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,2,1,0.988738477230072
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,3,1,0.8564389944076538
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,3,1,0.9787435531616211
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,4,1,0.8611534833908081
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,4,1,0.9697957038879395
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,5,1,0.9049587249755859
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,5,1,0.9735886454582214
ACDC,l2_loss,0.0,resnet50,advanced_training,False,1,1,0.06548257917165756
ACDC,l2_loss,0.0,resnet50,advanced_training,True,1,1,0.05968266353011131
ACDC,l2_loss,0.0,resnet50,advanced_training,False,2,1,0.2586740553379059
ACDC,l2_loss,0.0,resnet50,advanced_training,True,2,1,0.15064454078674316
ACDC,l2_loss,0.0,resnet50,advanced_training,False,3,1,0.8022695183753967
ACDC,l2_loss,0.0,resnet50,advanced_training,True,3,1,0.3475129306316376
ACDC,l2_loss,0.0,resnet50,advanced_training,False,4,1,1.709262728691101
ACDC,l2_loss,0.0,resnet50,advanced_training,True,4,1,0.555638313293457
ACDC,l2_loss,0.0,resnet50,advanced_training,False,5,1,1.1678858995437622
ACDC,l2_loss,0.0,resnet50,advanced_training,True,5,1,0.3944549858570099
ACDC,l2_loss,0.25,resnet50,advanced_training,False,1,1,0.22512945532798767
ACDC,l2_loss,0.25,resnet50,advanced_training,True,1,1,0.2838152050971985
ACDC,l2_loss,0.25,resnet50,advanced_training,False,2,1,0.3818458914756775
ACDC,l2_loss,0.25,resnet50,advanced_training,True,2,1,0.34706225991249084
ACDC,l2_loss,0.25,resnet50,advanced_training,False,3,1,0.9157238006591797
ACDC,l2_loss,0.25,resnet50,advanced_training,True,3,1,0.5110595226287842
ACDC,l2_loss,0.25,resnet50,advanced_training,False,4,1,1.8241857290267944
ACDC,l2_loss,0.25,resnet50,advanced_training,True,4,1,0.7170131802558899
ACDC,l2_loss,0.25,resnet50,advanced_training,False,5,1,1.288845419883728
ACDC,l2_loss,0.25,resnet50,advanced_training,True,5,1,0.5697283744812012
ACDC,l2_loss,0.5,resnet50,advanced_training,False,1,1,0.45138266682624817
ACDC,l2_loss,0.5,resnet50,advanced_training,True,1,1,0.5205983519554138
ACDC,l2_loss,0.5,resnet50,advanced_training,False,2,1,0.5259736180305481
ACDC,l2_loss,0.5,resnet50,advanced_training,True,2,1,0.5738705992698669
ACDC,l2_loss,0.5,resnet50,advanced_training,False,3,1,1.0420417785644531
ACDC,l2_loss,0.5,resnet50,advanced_training,True,3,1,0.7169087529182434
ACDC,l2_loss,0.5,resnet50,advanced_training,False,4,1,1.951461672782898
ACDC,l2_loss,0.5,resnet50,advanced_training,True,4,1,0.9242465496063232
ACDC,l2_loss,0.5,resnet50,advanced_training,False,5,1,1.4302805662155151
ACDC,l2_loss,0.5,resnet50,advanced_training,True,5,1,0.7899060845375061
ACDC,l2_loss,0.75,resnet50,advanced_training,False,1,1,0.6878796815872192
